name,ID,SEX,ALIVE,COMPANY,ALIGN
Quetzalcoatl (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Prodigal (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Stone Colossus (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Maker (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Iroque (New Earth),Secret Identity,Female Characters,Living Characters,DC,Neutral Characters
Nikola Tesla (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Grom (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Godfrey Calthrop (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Demeter (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Shapur II (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Jagrfelm (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Oculus (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Clement Wilson (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Brillalae (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Ronald (Mutant) (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Cynthia von Doom (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Laralei (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Xebel (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Demogoblin (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Amina Synge (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Creeper (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Mindmeld (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Reginald Harris (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Gunna Sijurvald (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Voodini (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Cleric (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Bizarro Batman (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
William Brannon (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Melinda Leucenstern (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Phil (Stamford resident) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Colosso (Ape) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Thor Odinson (Ragnarok) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Roger Brokeridge (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Vincent Bloch (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
William Walker (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Neutral Characters
Mignonette Gotlib (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Michael Bloomberg (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Maya Benjamin (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Grant Morrison (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Neutral Characters
Magnetic Man (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Jeffrey Haight (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Thomas Foster (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Lilith Drake (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Keerg (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Tanalth (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Gazer (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Grannz (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Gwendolyne Stacy (Clone) (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Ana Cortes (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Gris Gris (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Orka (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Recorder 211 (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Stacy (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Ard-Con (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Tyler Meagher (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Marie-Ange Colbert (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Ed (Morlock) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Tyrr (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Don Heck (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Ebeneezer Wallaby (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Leita (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Ronald Rankin (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Daniel Drumm (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Victoria Bentley (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Carole (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Kiana (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
John Buscema (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Mrs. Baker (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Jefferson Bolt (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Arnold Lundberg (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Jennifer Nyles (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Solemne Brannex (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Sylk (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Chalo (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Bizarro Perry White (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Ksenia Nadejda Panov (Legion Personality) (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Metazoid (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
"Radiant, Spirit of Mercy (New Earth)",Secret Identity,Female Characters,Living Characters,DC,Neutral Characters
Kirbax the Kraklar (Legion Personality) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Melody Jacobs (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Harry Pace (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Hilda Zemo (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Geoffrey Wilder (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Delusionaut (Legion Personality) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Zarathos (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Gwyneth Tate (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Lucy Robinson (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Scrier (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
James Burley (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Janice Yanizeski (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Paul Stacy (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Cleveland Brand (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Neutral Characters
Gregori Arcane (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Cammille Benally (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Brood (Warbound) (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Bizarro Brainiac (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Roger Gordon (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Neutral Characters
Rachel Santiago (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Doctor Goodwrench (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Kana (Earth-One),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Manuel Eloganto (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Grove (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Rachel Argosy (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Depth Charge (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
David Roberts (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Taleb Beni Khalid (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Ling McPherson (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Adrianna Tomaz (New Earth),Public Identity,Female Characters,Deceased Characters,DC,Neutral Characters
Electron (Imperial Guard) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Sarnogg (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Carrie Phillips (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Megan Hoyden (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Rama Kushna (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Yrra Cynril (New Earth),Secret Identity,Female Characters,Living Characters,DC,Neutral Characters
Despair (New Earth),Secret Identity,Female Characters,Living Characters,DC,Neutral Characters
Derek Bishop (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Farley Stillwell (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Olaf Olsen (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
William Bates (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Maxwell Markham (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Walker Hobbes (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Horus (Deity) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Philo Baker (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Theodore Roberts (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Ulysses Bloodstone (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Dodger (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Mr. Lin (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Reyno (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Charles Darwin (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Norma Astrovik (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Mekanique (New Earth),Secret Identity,Female Characters,Living Characters,DC,Neutral Characters
Sapphiras (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Helen Claiborne (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Tes Ak-Var (New Earth),Public Identity,Female Characters,Deceased Characters,DC,Neutral Characters
Poseidon (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Porcal (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Gayle Edgerton (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Ella (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Ed McMahon (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Enigma (New Earth),Secret Identity,Female Characters,Living Characters,DC,Neutral Characters
Silica (New Earth),Public Identity,Female Characters,Deceased Characters,DC,Neutral Characters
Mikhail Gorbachev (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Herne (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Sandman (Nowhere) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Essential (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Kamandi (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Geldhoff (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Tania Belinskaya (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Rhea (Warhawk) (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Travis Clevenger (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Rufus King (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Fiqh (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Fiber (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Nobody (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Jonathan Drew (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Esme Fernando (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Willem Vincent (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Stella (Washington Heights) (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Stefanya Melnikova (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Christian Frost (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Sam Klein (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Ditmal Pirvat (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Danika Trevani (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Alexandra Rasputina (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Primo Falcone (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Manta (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Starbolt (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Mentor (Imperial Guard) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Tony (Washington Heights) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Juliana Valencia (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
David Johnson (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Lita Brand (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
James Bourne (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Bartholomew Gallows (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Larfleeze (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Lazarus (Domino brother) (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
